446	1
530	6
568	20
364	32
551	71
556	108
264	113
267	123
516	144
440	146
529	148
501	153
406	158
540	180
901	199
735	201
1998	203
864	206
682	207
2174	215
2125	216
2265	222
2011	230
944	235
889	242
862	246
1861	247
1085	251
2031	254
739	257
1002	258
924	260
829	262
696	264
738	265
1171	267
2107	271
603	273
1356	274
644	276
2034	277
2044	278
1283	280
1995	286
2074	293
1064	299
2168	301
2123	302
1959	304
841	305
2260	307
1639	310
2166	311
710	315
659	316
2339	318
2056	324
2327	325
849	329
736	332
2219	333
2164	334
1744	337
1820	338
1860	344
1481	348
1722	349
2210	360
1598	361
2186	362
1406	364
1275	367
1793	368
1522	372
881	373
1179	384
649	387
1278	391
1028	394
2176	395
1569	397
1331	401
2081	404
1559	406
906	409
1938	412
1677	413
2224	417
1130	419
1361	420
1618	422
784	423
1075	424
734	425
2052	428
1868	429
1902	436
1506	438
1983	439
2287	440
1601	443
962	446
1378	450
2048	455
1186	456
1907	459
928	460
1802	462
1694	466
1174	469
1668	475
1654	477
1271	478
1578	488
643	489
1661	490
1330	491
2346	492
2130	493
1410	494
2116	497
2252	498
929	499
2312	501
2326	502
1348	504
824	505
2163	506
2314	507
1986	510
1960	511
946	514
1307	515
632	516
1322	517
1927	519
847	520
835	522
1219	524
2141	526
2169	528
1950	529
2184	531
1978	532
1750	533
2134	535
1215	536
2183	540
2194	544
2244	545
2249	547
1411	549
585	552
1594	555
617	556
2282	557
672	558
1303	559
892	560
1889	563
1952	566
1637	568
698	571
1151	573
2110	575
1294	576
795	577
2045	578
1622	579
2213	580
854	581
1685	583
1270	584
